"Afhlat","A♭",""
"Afhlats","A♭s",""
"Bfhlat","B♭",""
"Bfhlats","B♭s",""
"Cfhlat","C♭",""
"Cfhlats","C♭s",""
"Dfhlat","D♭",""
"Dfhlats","D♭s",""
"RA#1","Rhythm Assessment #1","Rhythm Assessment #1"
"RA#2","Rhythm Assessment #2","Rhythm Assessment #2"
"RA#3","Rhythm Assessment #3","Rhythm Assessment #3"
"altoa","Concert C (Alto A)",""
"altoafhl","Concert B (Alto A♭)",""
"altob","Concert D (Alto B)",""
"altobfhl","Concert D♭ (Alto B♭)",""
"altoc","Concert E♭ (Alto C)",""
"altocsh","Concert E (Alto C♯)",""
"altod","Concert F (Alto D)",""
"altodfhl","Concert E (Alto D♭)",""
"altoe","Concert G (Alto E)",""
"altoefhl","Concert G♭ (Alto E♭)",""
"altof","Concert A♭ (Alto F)",""
"altofsh","Concert A (Alto F♯)",""
"altog","Concert B♭ (Alto G)",""
"ashsharp","A♯",""
"ashsharps","A♯s",""
"clra","Concert G (Clarinet A)",""
"clrafhl","Concert G♭ (Clarinet A♭)",""
"clrb","Concert A (Clarinet B)",""
"clrbfhl","Concert A♭ (Clarinet B♭)",""
"clrc","Concert B♭ (Clarinet C)",""
"clrd","Concert C (Clarinet D)",""
"clrdfhl","Concert B (Clarinet D♭)",""
"clre","Concert D (Clarinet E)",""
"clrefhl","Concert D♭ (Clarinet E♭)",""
"clrf","Concert E♭ (Clarinet F)",""
"clrg","Concert F (Clarinet G)",""
"clrgfhl","Concert E (Clarinet G♭)",""
"cshsharp","C♯",""
"cshsharps","C♯s",""
"d-os","Double-Octave Scale",""
"dshsharp","D♯",""
"dshsharps","D♯s",""
"e.x","dotted-eighth/sixteenth",""
"efhlat","E♭",""
"efhlats","E♭s",""
"fshsharp","F♯",""
"fshsharps","F♯s",""
"gfhlat","G♭",""
"gfhlats","G♭s",""
"gshsharp","G♯",""
"gshsharps","G♯s",""
"hminsc","Harmonic Minor Scale",""
"horna","Concert D (Horn A)",""
"hornafhl","Concert D♭ (Horn A♭)",""
"hornb","Concert E (Horn B)",""
"hornbfhl","Concert E♭ (Horn B♭)",""
"hornc","Concert F (Horn C)",""
"hornd","Concert G (Horn D)",""
"horndfhl","Concert G♭ (Horn D♭)",""
"horne","Concert A (Horn E)",""
"hornefhl","Concert A♭ (Horn E♭)",""
"hornf","Concert B♭ (Horn F)",""
"horng","Concert C (Horn G)",""
"horngfhl","Concert B (Horn G♭)",""
"majsc","Major Scale",""
"minsc","Minor Scale",""
"minsca","Minor Scale assessments",""
"mminsc","Melodic Minor Scale",""
"nminsc","Natural Minor Scale",""
"q.e","dotted-quarter/eighth",""
"qe3","quarter/eighth triplet",""
"tenora","Concert G (Tenor A)",""
"tenorafhl","Concert G♭ (Tenor A♭)",""
"tenorb","Concert A (Tenor B)",""
"tenorbfhl","Concert A♭ (Tenor B♭)",""
"tenorc","Concert B♭ (Tenor C)",""
"tenord","Concert C (Tenor D)",""
"tenordfhl","Concert B (Tenor D♭)",""
"tenore","Concert D (Tenor E)",""
"tenorefhl","Concert D♭ (Tenor E♭)",""
"tenorf","Concert E♭ (Tenor F)",""
"tenorg","Concert F (Tenor G)",""
"tenorgfhl","Concert E (Tenor G♭)",""
"tpta","Concert G (Trumpet A)",""
"tptafhl","Concert G♭ (Trumpet A♭)",""
"tptb","Concert A (Trumpet B)",""
"tptbfhl","Concert A♭ (Trumpet B♭)",""
"tptc","Concert B♭ (Trumpet C)",""
"tptd","Concert C (Trumpet D)",""
"tptdfhl","Concert B (Trumpet D♭)",""
"tpte","Concert D (Trumpet E)",""
"tptefhl","Concert D♭ (Trumpet E♭)",""
"tptf","Concert E♭ (Trumpet F)",""
"tptg","Concert F (Trumpet G)",""
"tptgfhl","Concert E (Trumpet G♭)",""
